x,Curve1
299.553,0.672456
302.709,0.651198
304.828,0.632062
306.954,0.610798
309.08,0.589534
312.235,0.568276
315.385,0.549145
321.538,0.557692
323.533,0.578981
325.534,0.598141
329.489,0.651356
330.454,0.672639
332.448,0.693927
333.412,0.715209
334.377,0.736492
335.341,0.757774
337.342,0.776935
338.306,0.798217
339.27,0.819499
341.265,0.840788
343.259,0.862076
346.29,0.881243
349.446,0.859985
352.661,0.819578
353.756,0.798308
354.852,0.777038
355.948,0.755768
357.044,0.734498
358.139,0.713228
359.235,0.691958
360.331,0.670688
361.427,0.649417
362.522,0.628147
362.588,0.606871
363.684,0.585601
364.773,0.566458
365.869,0.545188
366.965,0.523918
369.091,0.502654
370.186,0.481384
371.282,0.460114
372.378,0.438844
374.504,0.41758
376.629,0.396316
378.755,0.375052
380.874,0.355915
384.03,0.334657
387.179,0.315527
391.359,0.296403
397.591,0.279418
407.905,0.275224
417.155,0.281662
425.356,0.294476
432.52,0.309412
441.758,0.320105
451.015,0.324415
460.318,0.313832
467.574,0.298981
474.83,0.28413
481.063,0.267146
487.296,0.250161
494.558,0.233183
499.761,0.216192
504.97,0.197074
510.18,0.177956
514.352,0.16096
519.562,0.141841
524.771,0.122723
528.95,0.103599
535.183,0.0866146
542.446,0.0696362
550.719,0.0590468
551.332,0.0581443
555.293,0.0556701
559.907,0.0535052
565.173,0.0516495
570.439,0.0497938
575.706,0.0479381
581.624,0.0463918
587.536,0.0454639
593.454,0.0439175
599.359,0.0436082
605.917,0.0436082
612.471,0.0439175
618.389,0.0423711
622.351,0.0398969
625.657,0.0374227
628.31,0.0346392
631.619,0.0318557
634.925,0.0293814
638.234,0.0265979
642.195,0.0241237
646.813,0.0216495
650.774,0.0191753
654.736,0.016701
659.349,0.0145361
664.612,0.0129897
670.524,0.0120619
677.095,0.0108247
682.361,0.00896907
686.971,0.0071134
692.238,0.00525773
697.504,0.00340206
703.419,0.00216495
709.986,0.00123711
718.797,0.0
726.007,0.0
736.307,0.0
743.517,0.0
753.818,0.0
761.034,0.0
770.298,0.0
779.581,0.0
788.838,0.0
802.229,0.0
812.529,0.0
820.789,0.0
829.009,0.0
838.286,0.0
846.52,0.0
856.82,0.0
864.03,0.0
874.33,0.0
881.547,0.0
890.817,0.0
901.151,0.0
906.261,0.0
916.561,0.0
922.742,0.0
933.042,0.0
941.295,0.0
949.522,0.0
958.806,0.0
967.033,0.0
977.333,0.0
982.483,0.0
992.79,0.0
